         1517261 function calls (1488817 primitive calls) in 60.247 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       76    0.003    0.000    0.003    0.000 {method 'copy' of 'dict' objects}
      140    0.003    0.000    1.301    0.009 C:\Users\ASUS\.conda\envs\env\lib\site-packages\ultralytics\utils\patches.py:29(imwrite)
    720/5    0.003    0.000    1.888    0.378 <frozen importlib._bootstrap_external>:844(exec_module)
      960    0.003    0.000    0.584    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\nn\modules\conv.py:459(forward)
       15    0.003    0.000    0.704    0.047 C:\Users\ASUS\.conda\envs\env\lib\site-packages\ultralytics\nn\tasks.py:110(_predict_once)
      773    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
     5238    0.003    0.000    0.004    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\utils.py:544(is_function)
     1094    0.003    0.000    0.006    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\nn\modules\module.py:1711(__setattr__)
    20122    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
      120    0.003    0.000    0.258    0.002 C:\Users\ASUS\.conda\envs\env\lib\site-packages\ultralytics\nn\modules\block.py:229(forward)
     1691    0.003    0.000    0.016    0.000 C:\Users\ASUS\.conda\envs\env\lib\ctypes\__init__.py:384(__getattr__)
  464/389    0.003    0.000    0.030    0.000 C:\Users\ASUS\.conda\envs\env\lib\inspect.py:2246(_signature_from_callable)
       14    0.003    0.000    0.003    0.000 {built-in method nt.mkdir}
    21379    0.003    0.000    0.003    0.000 {built-in method nt.fspath}
     1724    0.003    0.000    0.005    0.000 C:\Users\ASUS\.conda\envs\env\lib\inspect.py:2498(__init__)
2651/2647    0.003    0.000    0.286    0.000 C:\Users\ASUS\.conda\envs\env\lib\importlib\__init__.py:109(import_module)
      140    0.003    0.000    0.026    0.000 C:\Users\ASUS\AppData\Roaming\Python\Python39\site-packages\mss\windows.py:138(_set_cfunctions)
     5793    0.003    0.000    0.005    0.000 C:\Users\ASUS\.conda\envs\env\lib\typing.py:665(_is_dunder)
     1440    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      490    0.003    0.000    0.006    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_tensor.py:1021(__len__)
